scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
600872,中炬高新,A股,上交所主板,2021-12-04T00:00:00,2021-03-31T00:00:00,0.2197,-,1263086512.55,9.5142,-3.859,174996448.44,-15.1683,-21.2164,3.72,6.01389007,0.291771,35.4956,食品饮料,-,-,058001001,069001001001,2021-04-28T00:00:00
001267,汇绿生态,A股,深交所主板,2021-11-11T00:00:00,2021-03-31T00:00:00,0.01,-,140710501.3,71.9921,-62.9766,7667665.45,12.5557,-82.8171,0.63,1.59670049,-0.137459,23.3956,工程建设,-,-,058001001,069001002001,2021-04-26T00:00:00
605108,同庆楼,A股,上交所主板,2021-10-30T00:00:00,2021-03-31T00:00:00,0.16,-,403783177.35,108.2565,-15.4369,31521888.87,-17.7932,-59.9228,1.72,9.26572902,0.243097,18.1683,旅游酒店,-,-,058001001,069001001001,2021-04-30T00:00:00
000972,*ST中基,A股,深交所风险警示板,2021-10-29T00:00:00,2021-03-31T00:00:00,-0.0259,-,0.0,-100.0,100.0,-19979751.27,-53.2072,91.0731,-11.78,0.20234333,-0.03292,-,食品饮料,-,-,058001001,069001002005,2021-04-30T00:00:00
002377,国创高新,A股,深交所主板,2021-10-28T00:00:00,2021-03-31T00:00:00,-0.0998,-,940971687.48,47.2248,-29.9563,-91463955.94,-12037.8093,97.0176,-4.13,2.3695966,-0.024488,1.9892,房地产服务,-,-,058001001,069001002001,2021-04-29T00:00:00
688182,灿勤科技,A股,上交所科创板,2021-10-28T00:00:00,2021-03-31T00:00:00,0.13,0.09,112083970.78,-74.2416,-28.081,39857527.7,-78.2933,68.789,4.02,3.36757424,-0.021037,45.1486,通信设备,-,-,058001001,069001001006,2021-10-28T00:00:00
300367,ST网力,A股,深交所风险警示板,2021-10-26T00:00:00,2021-03-31T00:00:00,-0.1023,-,26434390.48,1.5934,-82.8755,-121856810.23,8.2445,-42.6521,-94.14,0.05782957,-0.018912,48.0067,计算机设备,-,-,058001001,069001002005,2021-04-30T00:00:00
600078,*ST澄星,A股,上交所风险警示板,2021-10-12T00:00:00,2021-03-31T00:00:00,-0.02,-,807794054.31,25.4429,-7.7717,-11259554.63,-247.9193,99.4932,-,-0.73510504,0.064718,10.4205,化肥行业,-,-,058001001,069001001003,2021-04-30T00:00:00
837092,汉鑫科技,A股,北京证券交易所,2021-09-29T00:00:00,2021-03-31T00:00:00,0.15,0.11,7896115.22,40.7893,-94.3994,5700458.44,363.7441,-68.1043,2.91,5.25258677,0.640607,40.8197,-,-,-,058001001,069001017,2021-04-30T00:00:00
831305,海希通讯,A股,北京证券交易所,2021-09-28T00:00:00,2021-03-31T00:00:00,0.39,0.33,74246380.46,54.1748,-8.5544,21034313.46,51.8993,-0.1568,6.15,6.55040518,0.343791,50.8276,-,-,-,058001001,069001017,2021-04-29T00:00:00
688553,汇宇制药,A股,上交所科创板,2021-09-27T00:00:00,2021-03-31T00:00:00,0.37,0.36,427252220.09,68.1627,21.6655,134661500.88,84.3868,78.0953,16.44,2.46189486,0.396327,90.4305,化学制药,-,-,058001001,069001001006,2021-09-27T00:00:00
688707,振华新材,A股,上交所科创板,2021-09-08T00:00:00,2021-03-31T00:00:00,0.23,0.2252,986638550.27,-,179.9538,76892284.21,-,306.9552,5.83,4.0833854,0.130019,15.2871,电池,-,-,058001001,069001001006,2021-06-04T00:00:00
000752,*ST西发,A股,深交所风险警示板,2021-09-01T00:00:00,2021-03-31T00:00:00,-0.02,-,95713012.5,105.929,-25.1397,-6210655.19,72.8864,-108.6204,-13.37,0.16434128,-0.04762,23.1864,酿酒行业,-,-,058001001,069001002005,2021-04-29T00:00:00
603766,隆鑫通用,A股,上交所主板,2021-08-31T00:00:00,2021-03-31T00:00:00,0.0829,-,2843249686.32,82.8243,-5.7028,170216913.98,60.2875,1373.8357,2.33,3.58298947,0.037249,13.7777,交运设备,-,-,058001001,069001001001,2021-04-24T00:00:00
300140,中环装备,A股,深交所创业板,2021-08-27T00:00:00,2021-03-31T00:00:00,-0.0872,-,221749354.14,-47.7677,-66.122,-37264721.63,-1111.7912,85.9106,-2.2,4.13604268,0.424259,29.5066,环保行业,-,-,058001001,069001002002,2021-04-23T00:00:00
605033,美邦股份,A股,上交所主板,2021-08-25T00:00:00,2021-03-31T00:00:00,0.46,0.45,274579814.47,26.0576,77.0139,46576192.23,7.8199,69.7528,9.85,4.89094973,-1.24753,35.7278,农药兽药,-,-,058001001,069001001001,2021-08-25T00:00:00
300737,科顺股份,A股,深交所创业板,2021-08-17T00:00:00,2021-03-31T00:00:00,0.27,-,1461287655.52,80.5686,-23.1803,167372421.32,469.625,-46.9945,3.77,7.17834107,-0.430302,32.1345,装修建材,-,-,058001001,069001002002,2021-04-22T00:00:00
688096,京源环保,A股,上交所科创板,2021-08-10T00:00:00,2021-03-31T00:00:00,0.05,-,33965729.01,7.844,-76.8617,5844591.34,44.1359,-77.3452,0.8,6.8650052,-0.410847,39.6758,环保行业,-,-,058001001,069001001006,2021-04-30T00:00:00
